category,scheme,url
Aggressive Hybrid Fund,Edelweiss Aggressive Hybrid Fund,https://research-host.example/Recommended/Edelweiss%20Aggressive%20Hybrid%20Fund.pdf
Aggressive Hybrid Fund,ICICI Pru Equity & Debt Fund,https://research-host.example/Recommended/ICICI%20Pru%20Equity%20&%20Debt%20Fund.pdf
Aggressive Hybrid Fund,Kotak Aggressive Hybrid Fund,https://research-host.example/Recommended/kotak%20Aggressive%20Hybrid%20Fund.pdf
Aggressive Hybrid Fund,Mahindra Manulife Aggressive Hybrid Fund,https://research-host.example/Recommended/Mahindra%20Manulife%20Aggressive%20Hybrid%20Fund.pdf
Aggressive Hybrid Fund,Nippon India Aggressive Hybrid Fund,https://research-host.example/Recommended/Nippon%20India%20Aggressive%20Hybrid%20Fund.pdf
Multi Asset Allocation Fund,DSP Multi Asset Allocation Fund,https://research-host.example/Recommended/DSP%20Multi%20Asset%20Allocation%20Fund.pdf
Multi Asset Allocation Fund,ICICI Pru Multi - Asset Fund,https://research-host.example/Recommended/ICICI%20Pru%20Mult%20Asset%20Fund.pdf
Multi Asset Allocation Fund,Mahindra Manulife Multi Asset Allocation Fund,https://research-host.example/Recommended/Mahindra%20Manulife%20Multi%20Asset%20Allocation%20Fund.pdf
Multi Asset Allocation Fund,Nippon India Multi Asset Allocation Fund,https://research-host.example/Recommended/Nippon%20India%20Multi%20Asset%20Allocation%20Fund.pdf
Multi Asset Allocation Fund,Quant Multi Asset Allocation Fund,https://research-host.example/Recommended/Quant%20Multi%20Asset%20Allocation%20Fund.pdf
Multi Asset Allocation Fund,White Oak Capital Multi Asset Allocation Fund,https://research-host.example/Recommended/White%20Oak%20Capital%20Multi%20Asset%20Allocation%20Fund.pdf
Arbitrage Funds,Aditya Birla SL Arbitrage Fund,https://research-host.example/Recommended/Aditya%20Birla%20SL%20Arbitrage%20Fund.pdf
Arbitrage Funds,Edelweiss Arbitrage Fund,https://research-host.example/Recommended/Edelweiss%20Arbitrage%20Fund.pdf
Arbitrage Funds,Invesco India Arbitrage Fund,https://research-host.example/Recommended/Invesco%20India%20Arbitrage%20Fund.pdf
Arbitrage Funds,Kotak Arbitrage Fund,https://research-host.example/Recommended/Kotak%20Arbitrage%20Fund.pdf
Arbitrage Funds,Tata Arbitrage Fund,https://research-host.example/Recommended/Tata%20Arbitrage%20Fund.pdf
Income Plus Arbitrage,Bandhan Income Plus Arbitrage Fund of Funds,https://research-host.example/Recommended/Bandhan%20Income%20Plus%20Arbitrage%20Fund.pdf
Income Plus Arbitrage,Kotak Income Plus Arbitrage Fund of Funds,https://research-host.example/Recommended/Kotak%20Income%20Plus%20Arbitrage%20Fund%20of%20Fund.pdf
Income Plus Arbitrage,SBI Income Plus Arbitrage Active Fund of Funds,https://research-host.example/Recommended/SBI%20Income%20Plus%20Arbitrage%20Active%20FOF.pdf
Equity Savings Fund,DSP Equity Savings Fund,https://research-host.example/Recommended/DSP%20Equity%20Savings%20Fund.pdf
Equity Savings Fund,Edelweiss Equity Savings Fund,https://research-host.example/Recommended/Edelweiss%20Equity%20Savings%20Fund.pdf
